"name","description"
"悖论喷流","黑海岸为资深战斗人员研发的实验型武器，以耀变体的偏执为名的佩枪。“耀变”是特殊类星体的名字，它们迸发的光辉仅仅投向此处——即使相隔百亿光年，也能观测到它们的痕迹。"
"核熔星盘","黑海岸为资深战斗人员研发的实验型武器，以耀变体的罪业为名的音感仪。“耀变”是特殊类星体的名字，它们迸发的光辉仅仅投向此处——即使相隔百亿光年，也能观测到它们的痕迹。"
"骇行","因空中奇象而生的臂铠。锻造者将目睹异星的感受融于武器之中，使它看起来镂空轻盈、却能在保护使用者的同时挥出万钧气势。"
"远行者佩枪·洞察","先行公约为远行者提供的佩枪，色泽鲜明，不易丢失，质地坚硬，能长期应对多种极端环境，在探险家群体中极受欢迎。"
"远行者臂铠·破障","先行公约为远行者提供的臂铠，色泽鲜明，不易丢失，质地坚硬，能长期应对多种极端环境，在探险家群体中极受欢迎。"
"时和岁稔","剑刃挥斩之间，得以窥见日月流转、物换星移。剑中似有万象，而万象归于其一。温润的剑气仿佛能化解这世上一切坚不可摧之物，不论是凝结千年的寒冰，还是停滞不前的时光。"
"赫奕流明","据传由灵鸟的心血与飞翎化火凝铸。持纵横玄素，引万象流明，离火蔓延之处，锋芒赫奕，诸恶形消神灭，不留尘埃。"
"钧天正音","据说是由角褪下的龙鳞打造而成的礼器，比起刀剑，更像是一把乐器。"
"琼枝冰绡","奇峰搜尽，遍览山林，玉印见证了无数胜景离跃纸上的生机，攀援而出的花枝指向即将新生的又一处深远画境。"
"诸方玄枢","以稷廷孤学为锻制要理，虽是轻械相衔，却密无罅缝，坚如金石。铸成之器，不为耀武、侵伐，但为破坼万难、钩深索隐。"
"星序协响","载有能量的核心，拟造着群星演化的循环。无限以奇点为源，将牵引的星团抛散，但寂灭流转，末陨尽头处又总传来不息的回声——那是新星诞生时的问候。"
"尘云旋臂","黑海岸为资深战斗人员研发的实验型武器，以耀变体的悲悯为名的臂铠。“耀变”是特殊类星体的名字，它们迸发的光辉仅仅投向此处——即使相隔百亿光年，也能观测到它们的痕迹。"
"心之锚","曾被白色守门人用于稳定心之集域的锚定装置。
在白色守门人被变化为了白猫的形态后，这个装置的外形也发生了一些变化……"
"裁春","静寂抽枝的椿花之种。她将如约绽放的无限世界盛在掌心，让细小的赤色藤蔓与指尖缠绕相连。
恰似沙砾厮磨心脏的隐约痛楚，即是彼此相遇的证明。"
