"title","description"
"Solaris-3","Sol-III, the third planet from the sun. A world of chaos and change, where old conventions are discarded and disasters run rampant. Human civilization struggles to survive in this new era of destruction and rebirth, facing uncharted challenges with unwavering determination."
"Waveworn Phenomenon","The Lament's power causes destructive waves across the land of Solaris. Manifestations like the ""Tacet Fields,"" ""Tacet Discord Outbreaks,"" and the enigmatic ""Tacetite"" are part of what is collectively known as the ""Waveworn Phenomena."""
"Tacet Field","The ""Tacet Fields"" are thought to be where all Tacet Discords originate. These locations feature a sky of inverted seas and a deep cross-shaped Tacet Mark on the ground. Reverberations fill the air, linking our world to an unknown space through a white Resonance Cord. These areas attract gatherings of Tacet Discords."
"Resonator","Individuals with the ability to resonate with certain objects and manipulate their frequencies are known as ""Resonators."" These individuals exhibit unique ""Resonance Abilities,"" also known as their ""Fortes,"" through the ""Tacet Mark"" on their bodies. According to experts, a Resonator's abilities are often influenced by their past experiences and subconscious mind."
"Jinzhou","Jinzhou, a fortified city on the frontier, stands guard against the looming Tacet Discord crisis. As one of Huanglong's six major regions, it bears the weight of this responsibility as the youngest provincial capital. The Midnight Rangers defend its northern border without hesitation."
"Solaris-3","Sol-III, the third planet from the sun. A world of chaos and change, where old conventions are discarded and disasters run rampant. Human civilization struggles to survive in this new era of destruction and rebirth, facing uncharted challenges with unwavering determination."
"""The Lament""","The term ""Lament"" refers to the ongoing catastrophic events on Solaris-3. Since the onset of the first Lament, the cycle of destruction has persisted relentlessly. The tide of devastation remains ceaseless, with no signs of stopping."
"Echo","Tacet Discords may leave behind ""Reverberations"" when they are eliminated, which can then be transformed into ""Echoes"" through the Pangu Terminal's Data Bank, providing a useful advantage in battle."
"Sentinel","Wherever there is civilization and history, there will be Sentinels. They serve as mankind's guardians and guides. Their immortal existence has helped humanity through countless troubles, sharing wisdom and prophecies. As we embark on a new journey after enduring the Lament, the Sentinels remain our record keeper and beacon in times of disaster."
"Jinzhou","Jinzhou, a fortified city on the frontier, stands guard against the looming Tacet Discord crisis. As one of Huanglong's six major regions, it bears the weight of this responsibility as the youngest provincial capital. The Midnight Rangers defend its northern border without hesitation."
"Tacet Discord","Tacet Discords, created by the Waveworn Phenomena, are dangerous entities with ever-changing, amorphous forms. They possess ""Tacet Cores"" and feed on other frequencies to maintain stability and evolve. These creatures mimic their prey's abilities, shapes, and behaviors, influenced by the types of frequency they consume."
"Echo","Tacet Discords may leave behind ""Reverberations"" when they are eliminated, which can then be transformed into ""Echoes"" through the Pangu Terminal's Data Bank, providing a useful advantage in battle."
"Sentinel","Wherever there is civilization and history, there will be Sentinels. They serve as mankind's guardians and guides. Their immortal existence has helped humanity through countless troubles, sharing wisdom and prophecies. As we embark on a new journey after enduring the Lament, the Sentinels remain our record keeper and beacon in times of disaster."
"Jinzhou","Jinzhou, a fortified city on the frontier, stands guard against the looming Tacet Discord crisis. As one of Huanglong's six major regions, it bears the weight of this responsibility as the youngest provincial capital. The Midnight Rangers defend its northern border without hesitation."
"""The Lament""","The term ""Lament"" refers to the ongoing catastrophic events on Solaris-3. Since the onset of the first Lament, the cycle of destruction has persisted relentlessly. The tide of devastation remains ceaseless, with no signs of stopping."
"Tacet Field","The ""Tacet Fields"" are thought to be where all Tacet Discords originate. These locations feature a sky of inverted seas and a deep cross-shaped Tacet Mark on the ground. Reverberations fill the air, linking our world to an unknown space through a white Resonance Cord. These areas attract gatherings of Tacet Discords."
"Resonator","Individuals with the ability to resonate with certain objects and manipulate their frequencies are known as ""Resonators."" These individuals exhibit unique ""Resonance Abilities,"" also known as their ""Fortes,"" through the ""Tacet Mark"" on their bodies. According to experts, a Resonator's abilities are often influenced by their past experiences and subconscious mind."
"Tacet Discord","Tacet Discords, created by the Waveworn Phenomena, are dangerous entities with ever-changing, amorphous forms. They possess ""Tacet Cores"" and feed on other frequencies to maintain stability and evolve. These creatures mimic their prey's abilities, shapes, and behaviors, influenced by the types of frequency they consume."
"Echo","Tacet Discords may leave behind ""Reverberations"" when they are eliminated, which can then be transformed into ""Echoes"" through the Pangu Terminal's Data Bank, providing a useful advantage in battle."
"Sentinel","Wherever there is civilization and history, there will be Sentinels. They serve as mankind's guardians and guides. Their immortal existence has helped humanity through countless troubles, sharing wisdom and prophecies. As we embark on a new journey after enduring the Lament, the Sentinels remain our record keeper and beacon in times of disaster."
"Jinzhou","Jinzhou, a fortified city on the frontier, stands guard against the looming Tacet Discord crisis. As one of Huanglong's six major regions, it bears the weight of this responsibility as the youngest provincial capital. The Midnight Rangers defend its northern border without hesitation."
"Solaris-3","Sol-III, the third planet from the sun. A world of chaos and change, where old conventions are discarded and disasters run rampant. Human civilization struggles to survive in this new era of destruction and rebirth, facing uncharted challenges with unwavering determination."
"Waveworn Phenomenon","The Lament's power causes destructive waves across the land of Solaris. Manifestations like the ""Tacet Fields,"" ""Tacet Discord Outbreaks,"" and the enigmatic ""Tacetite"" are part of what is collectively known as the ""Waveworn Phenomena."""
"""The Lament""","The term ""Lament"" refers to the ongoing catastrophic events on Solaris-3. Since the onset of the first Lament, the cycle of destruction has persisted relentlessly. The tide of devastation remains ceaseless, with no signs of stopping."
"Tacet Field","The ""Tacet Fields"" are thought to be where all Tacet Discords originate. These locations feature a sky of inverted seas and a deep cross-shaped Tacet Mark on the ground. Reverberations fill the air, linking our world to an unknown space through a white Resonance Cord. These areas attract gatherings of Tacet Discords."
"Resonator","Individuals with the ability to resonate with certain objects and manipulate their frequencies are known as ""Resonators."" These individuals exhibit unique ""Resonance Abilities,"" also known as their ""Fortes,"" through the ""Tacet Mark"" on their bodies. According to experts, a Resonator's abilities are often influenced by their past experiences and subconscious mind."
"Tacet Discord","Tacet Discords, created by the Waveworn Phenomena, are dangerous entities with ever-changing, amorphous forms. They possess ""Tacet Cores"" and feed on other frequencies to maintain stability and evolve. These creatures mimic their prey's abilities, shapes, and behaviors, influenced by the types of frequency they consume."
"Echo","Tacet Discords may leave behind ""Reverberations"" when they are eliminated, which can then be transformed into ""Echoes"" through the Pangu Terminal's Data Bank, providing a useful advantage in battle."
"Sentinel","Wherever there is civilization and history, there will be Sentinels. They serve as mankind's guardians and guides. Their immortal existence has helped humanity through countless troubles, sharing wisdom and prophecies. As we embark on a new journey after enduring the Lament, the Sentinels remain our record keeper and beacon in times of disaster."
"Jinzhou","Jinzhou, a fortified city on the frontier, stands guard against the looming Tacet Discord crisis. As one of Huanglong's six major regions, it bears the weight of this responsibility as the youngest provincial capital. The Midnight Rangers defend its northern border without hesitation."
"Solaris-3","Sol-III, the third planet from the sun. A world of chaos and change, where old conventions are discarded and disasters run rampant. Human civilization struggles to survive in this new era of destruction and rebirth, facing uncharted challenges with unwavering determination."
"Waveworn Phenomenon","The Lament's power causes destructive waves across the land of Solaris. Manifestations like the ""Tacet Fields,"" ""Tacet Discord Outbreaks,"" and the enigmatic ""Tacetite"" are part of what is collectively known as the ""Waveworn Phenomena."""
"""The Lament""","The term ""Lament"" refers to the ongoing catastrophic events on Solaris-3. Since the onset of the first Lament, the cycle of destruction has persisted relentlessly. The tide of devastation remains ceaseless, with no signs of stopping."
"Tacet Field","The ""Tacet Fields"" are thought to be where all Tacet Discords originate. These locations feature a sky of inverted seas and a deep cross-shaped Tacet Mark on the ground. Reverberations fill the air, linking our world to an unknown space through a white Resonance Cord. These areas attract gatherings of Tacet Discords."
"Resonator","Individuals with the ability to resonate with certain objects and manipulate their frequencies are known as ""Resonators."" These individuals exhibit unique ""Resonance Abilities,"" also known as their ""Fortes,"" through the ""Tacet Mark"" on their bodies. According to experts, a Resonator's abilities are often influenced by their past experiences and subconscious mind."
"Tacet Discord","Tacet Discords, created by the Waveworn Phenomena, are dangerous entities with ever-changing, amorphous forms. They possess ""Tacet Cores"" and feed on other frequencies to maintain stability and evolve. These creatures mimic their prey's abilities, shapes, and behaviors, influenced by the types of frequency they consume."
"Echo","Tacet Discords may leave behind ""Reverberations"" when they are eliminated, which can then be transformed into ""Echoes"" through the Pangu Terminal's Data Bank, providing a useful advantage in battle."
"Sentinel","Wherever there is civilization and history, there will be Sentinels. They serve as mankind's guardians and guides. Their immortal existence has helped humanity through countless troubles, sharing wisdom and prophecies. As we embark on a new journey after enduring the Lament, the Sentinels remain our record keeper and beacon in times of disaster."
"Jinzhou","Jinzhou, a fortified city on the frontier, stands guard against the looming Tacet Discord crisis. As one of Huanglong's six major regions, it bears the weight of this responsibility as the youngest provincial capital. The Midnight Rangers defend its northern border without hesitation."
"Solaris-3","Sol-III, the third planet from the sun. A world of chaos and change, where old conventions are discarded and disasters run rampant. Human civilization struggles to survive in this new era of destruction and rebirth, facing uncharted challenges with unwavering determination."
"Threnodian","Threnodians are formidable creatures born from the Laments, with the power to destroy human spirit and feed off of their collapsed will. If civilizations represent mankind's collective will, the Threnodians embody our fears and struggles. They manifest as destructive Tacet Discord disasters spreading across the planet."
"Reverberation","The Waveworn Phenomena is believed to alter matter, information, and energy by converting them into vibrating ""frequencies"" referred to as ""Reverberations."" This process has been observed through experimental evidence in the academic community."
"Remnant","In their studies of Waveworn Phenomena, scientists discovered ""Tacetite"" — a substance that can permanently hold Remnant Energy. The Tacetite can be made into potent weapons for Resonators to combat Tacet Discords. Transdimensional spaces where Remnant Energy is abundant are known as the Sonoro Spheres."
"Threnodian","Threnodians are formidable creatures born from the Laments, with the power to destroy human spirit and feed off of their collapsed will. If civilizations represent mankind's collective will, the Threnodians embody our fears and struggles. They manifest as destructive Tacet Discord disasters spreading across the planet."
"Reverberation","The Waveworn Phenomena is believed to alter matter, information, and energy by converting them into vibrating ""frequencies"" referred to as ""Reverberations."" This process has been observed through experimental evidence in the academic community."
"Remnant","In their studies of Waveworn Phenomena, scientists discovered ""Tacetite"" — a substance that can permanently hold Remnant Energy. The Tacetite can be made into potent weapons for Resonators to combat Tacet Discords. Transdimensional spaces where Remnant Energy is abundant are known as the Sonoro Spheres."
"Threnodian","Threnodians are formidable creatures born from the Laments, with the power to destroy human spirit and feed off of their collapsed will. If civilizations represent mankind's collective will, the Threnodians embody our fears and struggles. They manifest as destructive Tacet Discord disasters spreading across the planet."
"Reverberation","The Waveworn Phenomena is believed to alter matter, information, and energy by converting them into vibrating ""frequencies"" referred to as ""Reverberations."" This process has been observed through experimental evidence in the academic community."
"Remnant","In their studies of Waveworn Phenomena, scientists discovered ""Tacetite"" — a substance that can permanently hold Remnant Energy. The Tacetite can be made into potent weapons for Resonators to combat Tacet Discords. Transdimensional spaces where Remnant Energy is abundant are known as the Sonoro Spheres."
"Threnodian","Threnodians are formidable creatures born from the Laments, with the power to destroy human spirit and feed off of their collapsed will. If civilizations represent mankind's collective will, the Threnodians embody our fears and struggles. They manifest as destructive Tacet Discord disasters spreading across the planet."
"Reverberation","The Waveworn Phenomena is believed to alter matter, information, and energy by converting them into vibrating ""frequencies"" referred to as ""Reverberations."" This process has been observed through experimental evidence in the academic community."
"Remnant","In their studies of Waveworn Phenomena, scientists discovered ""Tacetite"" — a substance that can permanently hold Remnant Energy. The Tacetite can be made into potent weapons for Resonators to combat Tacet Discords. Transdimensional spaces where Remnant Energy is abundant are known as the Sonoro Spheres."
"Threnodian","Threnodians are formidable creatures born from the Laments, with the power to destroy human spirit and feed off of their collapsed will. If civilizations represent mankind's collective will, the Threnodians embody our fears and struggles. They manifest as destructive Tacet Discord disasters spreading across the planet."
"Reverberation","The Waveworn Phenomena is believed to alter matter, information, and energy by converting them into vibrating ""frequencies"" referred to as ""Reverberations."" This process has been observed through experimental evidence in the academic community."
"Remnant","In their studies of Waveworn Phenomena, scientists discovered ""Tacetite"" — a substance that can permanently hold Remnant Energy. The Tacetite can be made into potent weapons for Resonators to combat Tacet Discords. Transdimensional spaces where Remnant Energy is abundant are known as the Sonoro Spheres."
"Threnodian","Threnodians are formidable creatures born from the Laments, with the power to destroy human spirit and feed off of their collapsed will. If civilizations represent mankind's collective will, the Threnodians embody our fears and struggles. They manifest as destructive Tacet Discord disasters spreading across the planet."
"Reverberation","The Waveworn Phenomena is believed to alter matter, information, and energy by converting them into vibrating ""frequencies"" referred to as ""Reverberations."" This process has been observed through experimental evidence in the academic community."
"Remnant","In their studies of Waveworn Phenomena, scientists discovered ""Tacetite"" — a substance that can permanently hold Remnant Energy. The Tacetite can be made into potent weapons for Resonators to combat Tacet Discords. Transdimensional spaces where Remnant Energy is abundant are known as the Sonoro Spheres."
"Somnoire, the Illusive Realm","A mysterious Gate has appeared, leading to a space called Somnoire where the dreams of all life on Solaris-3 are believed to reside..."
"Solaris-3","Sol-III, the third planet from the sun. A world of chaos and change, where old conventions are discarded and disasters run rampant. Human civilization struggles to survive in this new era of destruction and rebirth, facing uncharted challenges with unwavering determination."
"Solaris-3","Sol-III, the third planet from the sun. A world of chaos and change, where old conventions are discarded and disasters run rampant. Human civilization struggles to survive in this new era of destruction and rebirth, facing uncharted challenges with unwavering determination."
"Waveworn Phenomenon","The Lament's power causes destructive waves across the land of Solaris. Manifestations like the ""Tacet Fields,"" ""Tacet Discord Outbreaks,"" and the enigmatic ""Tacetite"" are part of what is collectively known as the ""Waveworn Phenomena."""
"""The Lament""","The term ""Lament"" refers to the ongoing catastrophic events on Solaris-3. Since the onset of the first Lament, the cycle of destruction has persisted relentlessly. The tide of devastation remains ceaseless, with no signs of stopping."
"Tacet Field","The ""Tacet Fields"" are thought to be where all Tacet Discords originate. These locations feature a sky of inverted seas and a deep cross-shaped Tacet Mark on the ground. Reverberations fill the air, linking our world to an unknown space through a white Resonance Cord. These areas attract gatherings of Tacet Discords."
"Resonator","Individuals with the ability to resonate with certain objects and manipulate their frequencies are known as ""Resonators."" These individuals exhibit unique ""Resonance Abilities,"" also known as their ""Fortes,"" through the ""Tacet Mark"" on their bodies. According to experts, a Resonator's abilities are often influenced by their past experiences and subconscious mind."
"Tacet Discord","Tacet Discords, created by the Waveworn Phenomena, are dangerous entities with ever-changing, amorphous forms. They possess ""Tacet Cores"" and feed on other frequencies to maintain stability and evolve. These creatures mimic their prey's abilities, shapes, and behaviors, influenced by the types of frequency they consume."
"Echo","Tacet Discords may leave behind ""Reverberations"" when they are eliminated, which can then be transformed into ""Echoes"" through the Pangu Terminal's Data Bank, providing a useful advantage in battle."
"Sentinel","Wherever there is civilization and history, there will be Sentinels. They serve as mankind's guardians and guides. Their immortal existence has helped humanity through countless troubles, sharing wisdom and prophecies. As we embark on a new journey after enduring the Lament, the Sentinels remain our record keeper and beacon in times of disaster."
"Jinzhou","Jinzhou, a fortified city on the frontier, stands guard against the looming Tacet Discord crisis. As one of Huanglong's six major regions, it bears the weight of this responsibility as the youngest provincial capital. The Midnight Rangers defend its northern border without hesitation."
"Threnodian","Threnodians are formidable creatures born from the Laments, with the power to destroy human spirit and feed off of their collapsed will. If civilizations represent mankind's collective will, the Threnodians embody our fears and struggles. They manifest as destructive Tacet Discord disasters spreading across the planet."
"Reverberation","The Waveworn Phenomena is believed to alter matter, information, and energy by converting them into vibrating ""frequencies"" referred to as ""Reverberations."" This process has been observed through experimental evidence in the academic community."
"Remnant","In their studies of Waveworn Phenomena, scientists discovered ""Tacetite"" — a substance that can permanently hold Remnant Energy. The Tacetite can be made into potent weapons for Resonators to combat Tacet Discords. Transdimensional spaces where Remnant Energy is abundant are known as the Sonoro Spheres."
"Solaris-3","Sol-III, the third planet from the sun. A world of chaos and change, where old conventions are discarded and disasters run rampant. Human civilization struggles to survive in this new era of destruction and rebirth, facing uncharted challenges with unwavering determination."
"Waveworn Phenomenon","The Lament's power causes destructive waves across the land of Solaris. Manifestations like the ""Tacet Fields,"" ""Tacet Discord Outbreaks,"" and the enigmatic ""Tacetite"" are part of what is collectively known as the ""Waveworn Phenomena."""
"""The Lament""","The term ""Lament"" refers to the ongoing catastrophic events on Solaris-3. Since the onset of the first Lament, the cycle of destruction has persisted relentlessly. The tide of devastation remains ceaseless, with no signs of stopping."
"Tacet Field","The ""Tacet Fields"" are thought to be where all Tacet Discords originate. These locations feature a sky of inverted seas and a deep cross-shaped Tacet Mark on the ground. Reverberations fill the air, linking our world to an unknown space through a white Resonance Cord. These areas attract gatherings of Tacet Discords."
"Resonator","Individuals with the ability to resonate with certain objects and manipulate their frequencies are known as ""Resonators."" These individuals exhibit unique ""Resonance Abilities,"" also known as their ""Fortes,"" through the ""Tacet Mark"" on their bodies. According to experts, a Resonator's abilities are often influenced by their past experiences and subconscious mind."
"Tacet Discord","Tacet Discords, created by the Waveworn Phenomena, are dangerous entities with ever-changing, amorphous forms. They possess ""Tacet Cores"" and feed on other frequencies to maintain stability and evolve. These creatures mimic their prey's abilities, shapes, and behaviors, influenced by the types of frequency they consume."
"Echo","Tacet Discords may leave behind ""Reverberations"" when they are eliminated, which can then be transformed into ""Echoes"" through the Pangu Terminal's Data Bank, providing a useful advantage in battle."
"Sentinel","Wherever there is civilization and history, there will be Sentinels. They serve as mankind's guardians and guides. Their immortal existence has helped humanity through countless troubles, sharing wisdom and prophecies. As we embark on a new journey after enduring the Lament, the Sentinels remain our record keeper and beacon in times of disaster."
"Jinzhou","Jinzhou, a fortified city on the frontier, stands guard against the looming Tacet Discord crisis. As one of Huanglong's six major regions, it bears the weight of this responsibility as the youngest provincial capital. The Midnight Rangers defend its northern border without hesitation."
"Threnodian","Threnodians are formidable creatures born from the Laments, with the power to destroy human spirit and feed off of their collapsed will. If civilizations represent mankind's collective will, the Threnodians embody our fears and struggles. They manifest as destructive Tacet Discord disasters spreading across the planet."
"Reverberation","The Waveworn Phenomena is believed to alter matter, information, and energy by converting them into vibrating ""frequencies"" referred to as ""Reverberations."" This process has been observed through experimental evidence in the academic community."
"Remnant","In their studies of Waveworn Phenomena, scientists discovered ""Tacetite"" — a substance that can permanently hold Remnant Energy. The Tacetite can be made into potent weapons for Resonators to combat Tacet Discords. Transdimensional spaces where Remnant Energy is abundant are known as the Sonoro Spheres."
"Temporal Loop","The Sonoro Sphere of Sentinel Jué. As dawn and dusk intertwine, and seasons are left disordered, is a place encompassing the beginning and end of all time."
"Black Shores: Surface","The Black Shores, an archipelago enshrouded in mysteries and turmoil, remains sealed away from the world in thick digital fog. It remains uncertain when or who will lift its veil, allowing it to once more shoulder the task of connecting the world."
"Black Shores: Surface","The Black Shores, an archipelago enshrouded in mysteries and turmoil, remains sealed away from the world in thick digital fog. It remains uncertain when or who will lift its veil, allowing it to once more shoulder the task of connecting the world."
"Black Shores: Surface","The Black Shores, an archipelago enshrouded in mysteries and turmoil, remains sealed away from the world in thick digital fog. It remains uncertain when or who will lift its veil, allowing it to once more shoulder the task of connecting the world."
"Black Shores: Surface","Shrouded in dense sea fog, the Black Shores is a haven for countless Consultants and Bloom Bearers wandering Solaris. Without an invitation from its members, no one has ever been able to locate this floating sanctuary that unites the world across the vast ocean..."
"Black Shores: Surface","Shrouded in dense sea fog, the Black Shores is a haven for countless Consultants and Bloom Bearers wandering Solaris. Without an invitation from its members, no one has ever been able to locate this floating sanctuary that unites the world across the vast ocean..."
"Black Shores: Underground","As an untuned melody drifts across the night sky, the torchlights that once illuminated the stars now instead devour them in crimson blaze. Listen to the true cries concealed within the Lament, and face them with unwavering courage. Hope will be born anew."
"Black Shores: Underground","As an untuned melody drifts across the night sky, the torchlights that once illuminated the stars now instead devour them in crimson blaze. Listen to the true cries concealed within the Lament, and face them with unwavering courage. Hope will be born anew."
"Black Shores: Underground","The upper and lower realms of the Black Shores are distinct yet interconnected, much like day and night. Beneath the sea's surface, the Black Shores' underground expanse stretches out as a city shrouded in perpetual darkness. Here, guided by their studies of the stars, Solaris' observers and modulators tirelessly search for the path to salvation..."
"Black Shores: Underground","The upper and lower realms of the Black Shores are distinct yet interconnected, much like day and night. Beneath the sea's surface, the Black Shores' underground expanse stretches out as a city shrouded in perpetual darkness. Here, guided by their studies of the stars, Solaris' observers and modulators tirelessly search for the path to salvation..."
"Black Shores: Underground","The upper and lower realms of the Black Shores are distinct yet interconnected, much like day and night. Beneath the sea's surface, the Black Shores' underground expanse stretches out as a city shrouded in perpetual darkness. Here, guided by their studies of the stars, Solaris' observers and modulators tirelessly search for the path to salvation..."
"Eidoscope","The garden, nestled within the depths of the subterranean galaxy, serves as both the lens to observe its great expanse and the Shorekeeper's dwelling during her confinement by the Tethys System. It is said that the garden existed well before the founding of the Black Shores, functioning as the eye that gazes upon the stars. However, what the eye perceives may remain unknown to the heart. What truths lie behind these supreme concepts?"
"Prophecy of the Endtimes","A future beyond this System lies beyond sight.
Its fall shall usher forth the world's inevitable ruin.
Frozen, torn asunder, consumed by flame... So be it, gaze now upon the world's end."
"Doom of Destruction","The land is engulfed in flames, while the Necrostar swallows the sky. The black hole at the pinnacle of the Port City of Guixu marks the beginning and the end of destruction. It also holds the key to salvation... Or perhaps, merely a lie."
"End of Wandering","On the virtual shores, deep within the Tethys System, lies the ultimate destination of the Black Shores in a distant future.
The tides of fate bring the lost traveler to this place, where their journey finds their end.
Yet, the guardian of this final destination, like yourself, is but a remnant of that very future."
"Black Shores: Underground","As an untuned melody drifts across the night sky, the torchlights that once illuminated the stars now instead devour them in crimson blaze. Listen to the true cries concealed within the Lament, and face them with unwavering courage. Hope will be born anew."
"Mt. Firmament: Hongzhen","An ancient, secluded town nestles within the tranquil embrace of Mt. Firmament. Elegant structures, scattered among the crimson leaves and tipped with pure white snow, create a scene of serene beauty. 
For centuries, the people of Hongzhen revere the Sentinel, who safeguards their town, as their god, praying devotedly for its blessing of lasting prosperity and longevity. Despite the year-round snowfall blanketing Mt. Firmament, the warm springs flowing from the mountains and the vibrant life of the townsfolk make the cold no more a concern."
"Mt. Firmament","A sanctuary in the southeastern seas of Jinzhou, sealed away beyond the reach of common folks in thick fogs.
According to ancient records, Mt. Firmament is the ancestral home of Jinzhou's earliest settlers. Sentinel Jué once descended upon this land, using the power of Temporal Mandate to protect it from Tacet Discords. Consequently, the flow of time within Mt. Firmament diverges from that of the outside world. 
In earlier times, scholars from the Court of Savantae were fortunate enough to uncover the mountain's hidden mysteries, leaving behind research facilities and invaluable records before vanishing without a trace."
"Mt. Firmament","A sanctuary in the southeastern seas of Jinzhou, sealed away beyond the reach of common folks in thick fogs.
According to ancient records, Mt. Firmament is the ancestral home of Jinzhou's earliest settlers. Sentinel Jué once descended upon this land, using the power of Temporal Mandate to protect it from Tacet Discords. Consequently, the flow of time within Mt. Firmament diverges from that of the outside world. 
In earlier times, scholars from the Court of Savantae were fortunate enough to uncover the mountain's hidden mysteries, leaving behind research facilities and invaluable records before vanishing without a trace."
"Mt. Firmament: Mianloong Chamber","The capsule that descended with the Sentinel upon Mt. Firmament now lies concealed in the depths of Loong's Rest, known to the people of Hongzhen as the Mianloong Chamber. 
The townsfolk believe that Sentinel Jué may hail from a distant star, and that the Mianloong Chamber served as its hibernation capsule. This site marks the end of the pilgrimage and the gateway to Jinzhou’s true future."
"Mt. Firmament: Mianloong Chamber","The capsule that descended with the Sentinel upon Mt. Firmament now lies concealed in the depths of Loong's Rest, known to the people of Hongzhen as the Mianloong Chamber. 
The townsfolk believe that Sentinel Jué may hail from a distant star, and that the Mianloong Chamber served as its hibernation capsule. This site marks the end of the pilgrimage and the gateway to Jinzhou’s true future."
